Array Size, Qty operations, method
112,447,Radixsort
113,9482,Bubblesort
113,6678,Insertionsort
113,2122,Heapsort
113,2022,Mergesort
113,1259,Quicksort
113,451,Radixsort
114,9353,Bubblesort
114,6182,Insertionsort
114,2157,Heapsort
114,2036,Mergesort
114,1142,Quicksort
114,455,Radixsort
115,9821,Bubblesort
115,6930,Insertionsort
115,2181,Heapsort
115,2052,Mergesort
115,1129,Quicksort
115,459,Radixsort
116,9949,Bubblesort
116,7132,Insertionsort
116,2183,Heapsort
116,2068,Mergesort
116,1494,Quicksort
116,463,Radixsort
117,9776,Bubblesort
117,6456,Insertionsort
117,2240,Heapsort
117,2088,Mergesort
117,1360,Quicksort
117,467,Radixsort
118,10501,Bubblesort
118,7802,Insertionsort
118,2218,Heapsort
118,2104,Mergesort
118,1417,Quicksort
118,471,Radixsort
119,10141,Bubblesort
119,6906,Insertionsort
119,2272,Heapsort
119,2122,Mergesort
119,1436,Quicksort
119,475,Radixsort
120,10628,Bubblesort
120,7536,Insertionsort
120,2280,Heapsort
120,2140,Mergesort
120,1162,Quicksort
120,479,Radixsort
121,10734,Bubblesort
121,7446,Insertionsort
121,2289,Heapsort
121,2168,Mergesort
121,1419,Quicksort
121,483,Radixsort
122,10964,Bubblesort
122,7694,Insertionsort
122,2351,Heapsort
122,2184,Mergesort
122,1410,Quicksort
122,487,Radixsort
123,11019,Bubblesort
123,7440,Insertionsort
123,2360,Heapsort
123,2202,Mergesort
123,1286,Quicksort
123,491,Radixsort
124,11638,Bubblesort
124,8614,Insertionsort
124,2368,Heapsort
124,2220,Mergesort
124,1266,Quicksort
124,495,Radixsort
125,11381,Bubblesort
125,7720,Insertionsort
125,2407,Heapsort
125,2242,Mergesort
125,1396,Quicksort
125,499,Radixsort
126,11270,Bubblesort
126,7668,Insertionsort
126,2448,Heapsort
126,2260,Mergesort
126,1329,Quicksort
126,503,Radixsort
127,11869,Bubblesort
127,8232,Insertionsort
127,2457,Heapsort
127,2280,Mergesort
127,1521,Quicksort
127,507,Radixsort
128,11943,Bubblesort
128,8646,Insertionsort
128,2504,Heapsort
128,2300,Mergesort
128,1414,Quicksort
128,511,Radixsort
129,12036,Bubblesort
129,7904,Insertionsort
129,2516,Heapsort
129,2562,Mergesort
129,1279,Quicksort
129,515,Radixsort
130,12263,Bubblesort
130,8532,Insertionsort
130,2521,Heapsort
130,2572,Mergesort
130,1435,Quicksort
130,519,Radixsort
131,12677,Bubblesort
131,9174,Insertionsort
131,2563,Heapsort
131,2584,Mergesort
131,1504,Quicksort
131,523,Radixsort
132,12824,Bubblesort
132,8828,Insertionsort
132,2589,Heapsort
132,2596,Mergesort
132,1475,Quicksort
132,527,Radixsort
